feature	PT1	PT2	PT3
ADRA1A	0	0	12
ADRA1B	0	0	0
ADRA1D	0	0	0
ADRA2A	0	0	2
ADRA2B	2	0	2
ADRA2C	0	0	4
ADRB1	0	0	32
ADRB2	0	46	0
ADRB3	0	0	0
ADRBK1	298	1194	1230
ADRBK2	10	578	8
ADRM1	98	2632	554
ADSL	168	136	20
ADSS	0	0	0
ADSSL1	0	0	0
ADTRP	0	276	0
AEBP1	6	0	4
AEBP2	0	4	0
AEN	2	262	0
AES	314	458	1306
AFAP1	56	0	2
AFAP1-AS1	0	12	2
AFAP1L1	0	0	4
AFAP1L2	0	0	4
AFF1	2	38	6
AFF2	0	0	8
AFF3	0	2	2
AFF4	30	14	70
AFG3L1P	128	8	6
AFG3L2	0	0	2018
AFM	0	0	0
AFMID	2	12	4
AFP	0	0	0
AFTPH	122	358	6
AGA	16	94	2
AGAP1	0	0	0
AGAP1-IT1	0	0	0
AGAP11	0	0	2
AGAP2	40	140	0
AGAP2-AS1	0	0	0
AGAP3	52	146	14
AGAP4	0	0	2
AGAP5	0	0	2
AGAP6	8	6	6
AGAP7P	20	2	0
AGAP9	0	0	0
AGBL1	0	0	0
AGBL1-AS1	0	0	2
AGBL2	0	0	0
AGBL3	0	0	0
AGBL4	0	0	2
AGBL4-IT1	0	0	0
AGBL5	136	446	6
AGBL5-AS1	0	0	8
AGER	64	62	4
AGFG1	0	814	30
AGFG2	0	38	52
AGGF1	50	14	0
AGK	10	700	0
AGL	24	204	40
AGMAT	2	110	6
AGMO	0	0	0
AGO1	84	334	78
AGO2	14	102	48
AGO3	24	6	0
AGO4	776	564	4
AGPAT1	2	94	10
AGPAT2	42	112	250
AGPAT3	534	636	80
AGPAT4	0	0	4
AGPAT4-IT1	0	0	6
AGPAT5	12	20	0
AGPAT6	412	904	184
AGPAT9	288	1424	0
AGPS	0	0	6
AGR2	0	0	0
AGR3	0	0	0
AGRN	0	0	18
AGRP	0	0	0
AGT	0	0	0
AGTPBP1	24	154	6
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	4852	10604	574
AGXT	0	0	4
AGXT2	0	0	0
AHCTF1	6	32	0
AHCTF1P1	0	0	0
AHCY	0	74	2
AHCYL1	344	78	16
AHCYL2	8	4	8
AHDC1	0	0	4
AHI1	250	294	54
AHNAK	48	262	312
AHNAK2	0	0	26
AHR	10	2	4
AHRR	0	0	0
AHSA1	0	616	4
AHSA2	700	10	2
AHSG	0	0	0
AHSP	126	188	32
AICDA	0	0	342
AIDA	8	0	0
AIF1	12760	16942	8322
AIF1L	0	0	14
AIFM1	494	0	2
AIFM2	0	4	4
AIFM3	58	0	2
AIG1	166	676	2
AIM1	58	416	2
AIM1L	0	10	10
AIM2	158	110	0
AIMP1	24	28	84
AIMP2	0	60	78
AIP	1462	2542	322
AIPL1	0	0	6
AIRE	0	0	2
AIRN	24	8	170
AJAP1	0	0	0
AJUBA	0	0	4
AK1	462	676	0
AK2	1140	1016	4194
AK3	90	6	0
AK4	0	0	0
AK5	0	4	4
AK6	604	374	0
AK7	0	0	2
AK8	0	0	8
AK9	4	34	2
AKAP1	0	592	20
AKAP10	30	54	6
AKAP11	2	36	0
AKAP12	10	0	0
AKAP13	1362	492	776
AKAP14	0	0	0
AKAP17A	764	170	8
AKAP2	0	0	2
AKAP3	0	20	2
AKAP4	0	0	0
AKAP5	6	0	0
AKAP6	0	0	10
AKAP7	0	106	2
AKAP8	8	90	0
AKAP8L	0	0	2
AKAP9	306	68	196
AKIP1	640	172	4
AKIRIN1	260	232	6
AKIRIN2	368	252	4
AKNA	848	860	128
AKNAD1	0	0	2
AKR1A1	966	4048	74
AKR1B1	612	3220	22
AKR1B10	0	0	0
AKR1B15	0	0	0
AKR1C1	0	0	0
AKR1C2	0	2	0
AKR1C3	18	314	0
AKR1C4	0	0	0
AKR1C6P	0	0	0
AKR1C8P	0	0	2
AKR1D1	0	0	16
AKR1E2	0	0	0
AKR7A2	106	2162	96
AKR7A2P1	0	8	0
AKR7A3	0	0	0
AKR7L	0	0	0
AKT1	376	408	48
AKT1S1	252	762	0
AKT2	252	114	4
AKT3	0	2	4
AKTIP	40	252	0
